service_time,arrival_time        ,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
2332.88     ,0.0                 ,2332.88           ,2332.88            ,0.0                 ,2336.87          ,3.99          ,0.47000000000025466
2342.6      ,0.0                 ,2342.6            ,2342.6             ,0.0                 ,2346.94          ,4.34          ,5.730000000000018
2350.21     ,0.0                 ,2350.21           ,2350.21            ,0.0                 ,2355.14          ,4.93          ,3.269999999999982
2358.38     ,0.0                 ,2358.38           ,2358.38            ,0.0                 ,2363.31          ,4.93          ,3.2400000000002365
2363.31     ,2.299999999999727   ,2361.01           ,2363.31            ,2.299999999999727   ,2367.39          ,6.38          ,0.0
2369.05     ,0.0                 ,2369.05           ,2369.05            ,0.0                 ,2373.83          ,4.78          ,1.6600000000003092
2383.97     ,0.0                 ,2383.97           ,2383.97            ,0.0                 ,2388.18          ,4.21          ,10.139999999999873
2388.84     ,0.0                 ,2388.84           ,2388.84            ,0.0                 ,2393.19          ,4.35          ,0.6600000000003092
2395.03     ,0.0                 ,2395.03           ,2395.03            ,0.0                 ,2399.93          ,4.9           ,1.8400000000001455
2404.52     ,0.0                 ,2404.52           ,2404.52            ,0.0                 ,2408.75          ,4.23          ,4.5900000000001455
2414.36     ,0.0                 ,2414.36           ,2414.36            ,0.0                 ,2419.29          ,4.93          ,5.610000000000127
2427.73     ,0.0                 ,2427.73           ,2427.73            ,0.0                 ,2432.73          ,5.0           ,8.440000000000055
2436.9      ,0.0                 ,2436.9            ,2436.9             ,0.0                 ,2441.55          ,4.65          ,4.170000000000073
